condition,cue,dop_strength,n_total,n_with_exit,mean_dir_deg,mean_vector_R,rayleigh_p,mean_speed_cms,mean_path_len_cm,mean_straightness
LR_strong_DoP,LR,strong,11,11,0.39,0.4432,0.115255,12.307,8867.15,0.0265
LR_weak_DoP,LR,weak,35,35,2.28,0.6929,0.0,12.541,4316.73,0.0239
TB_strong_DoP,TB,strong,16,16,6.29,0.3902,0.087453,13.553,8171.77,0.0186
TB_weak_DoP,TB,weak,36,35,3.28,0.7039,0.0,11.747,4407.78,0.022
unknown_strong_DoP,unknown,strong,4,4,318.61,0.4257,0.484407,10.699,14135.39,0.0063
unknown_weak_DoP,unknown,weak,1,1,137.1,1.0,1.0,12.429,3472.26,0.003
