folder,bee_id,cue,P,U,dop,dop_strength,exit_angle_deg,inner_exit_angle_deg,path_len_cm,displacement_cm,straightness,mean_speed_cms,max_radius_cm
2024-11-17 17-04-16.R13.LR.P0U8,R13,LR,0.0,8.0,0.07,weak,16.615004115311592,16.615004115311592,4736.030331413532,147.8908771128226,0.031226758860026682,12.547493627867459,168.51260077869546
2024-11-17 17-12-21.R35.TB.P0U8,R35,TB,0.0,8.0,0.07,weak,21.378612407986225,21.378612407986225,3266.8087797199582,162.8463367645708,0.049848750797875145,12.473628571428572,176.96581212663648
2024-11-18 14-39-22.R13.TB.P0.1U8,R13,TB,0.1,8.0,0.05,weak,34.324912745727204,104.1366449899503,5669.23571323184,3.710518713064229,0.0006545006947592566,4.733372167456152,175.87338980391547
2024-11-18 14-48-26.R 13.LR.P0.1U8,R13,LR,0.1,8.0,0.05,weak,26.11733189195644,26.11733189195644,2646.18790954168,76.12266245370036,0.028766914919086308,8.153437209302325,171.44700676022313
2024-11-18 14-55-58.R 13.LR.P 3.8 U 8.0,R13,LR,3.8,8.0,0.04,weak,25.629876269448857,25.629876269448857,3832.2781152035363,153.03648229412488,0.039933553279182334,13.623444511825348,176.14181249481908
2024-11-18 15-04-26.R 13.TB.P3.8 U 8.0,R13,TB,3.8,8.0,0.07,weak,26.239531126810334,26.239531126810334,3115.1942626884465,4.180601382576433,0.0013420034290152192,10.784206896551725,170.02491164508803
2024-11-18 15-10-47.R13.TB.P 4.2 U 8.0,R13,TB,4.2,8.0,0.05,weak,19.08009153341908,19.08009153341908,5325.704341940613,152.05281718797582,0.028550743230438113,12.932349726775959,180.1995215720619
2024-11-18 15-16-30.R 13.LR.P 4.2 U 8.0,R13,LR,4.2,8.0,0.05,weak,25.463076320399807,25.463076320399807,3530.149284367167,156.2598550252751,0.04426437593369002,15.11020220588235,166.44619487546115
2024-11-18 15-24-44.R13.LR. P 4.3 U 8.0,R13,LR,4.3,8.0,0.05,weak,136.63165195049453,136.63165195049453,4297.13887994281,146.17511587407753,0.034016847013337154,14.503745727956254,173.00983515627078
2024-11-18 15-30-14.R 13.TB.P 4.3 U 8.0,R13,TB,4.3,8.0,0.07,weak,23.22605005623973,23.22605005623973,4880.062191998332,145.10722977067678,0.029734709120839493,13.121365576102418,173.17616676586877
2024-11-18 15-36-25.R13.TB. P 4.4 U 8.0,R13,TB,4.4,8.0,0.05,weak,25.37344369248649,25.37344369248649,1796.6559132999928,150.81620567153914,0.08394273191383025,12.608159268929501,173.55457386413067
2024-11-18 15-40-44.R13.LR P 4.4 U 8.0,R13,LR,4.4,8.0,0.05,weak,343.6975310276373,12.982690894819882,5720.574379584346,78.0502772428132,0.013643783309829858,11.762229270502946,175.6511428077825
2024-11-18 16-08-20.R13.LR P0 U 2,R13,LR,0.0,2.0,0.04,weak,24.51879953184573,24.51879953184573,3780.640535833722,4.541052468316146,0.0012011330951131368,11.18369053117783,171.85877620162438
2024-11-18 16-14-03.R13.TB.P0 U 2,R13,TB,0.0,2.0,0.04,weak,18.82811269575592,18.82811269575592,3293.2794336521483,153.71304505903197,0.046674765429354656,11.55768275862069,167.2997660049768
2024-11-18 16-27-22.R13.TB.P0.3 U 2,R13,TB,0.3,2.0,0.04,weak,,,3656.6011078604706,2.7711493427818086,0.0007578484119650797,13.126030823306746,4.429636179191263
2024-11-18 16-34-47.R13.LR.P0.3 U 2,R13,LR,0.3,2.0,0.04,weak,24.232506955648375,24.232506955648375,3346.262695023819,148.2495793558956,0.0443030308338779,14.152976525821595,172.2346970595646
2024-11-19 17-28-23.R13.LR.P0.4 U 2,R13,LR,0.4,2.0,0.04,weak,155.91087406195277,155.91087406195277,4210.441042028242,4.879857100366771,0.0011589895337938423,10.561493837654059,159.13478820584768
2024-11-19 17-37-28.R 13.TB.P0.4 U 2,R13,TB,0.4,2.0,0.04,weak,356.2246709769468,356.2246709769468,3993.433602055953,1.8989022513020575,0.00047550615348266695,7.663091380427738,173.8517168904581
